DRCOV VERSION: 2
DRCOV FLAVOR: drcov-64
Module Table: version 4, count 11
Columns: id, containing_id, start, end, entry, offset, path
  0,   0, 0x00007f66b7f9c000, 0x00007f66b7f9e000, 0x00007f66b7f9c8f0, 0000000000000000,  /home/fredrik/subset/dynamorio/build/clients/lib64/release/libdrcov.so
  1,   0, 0x00007f66b819d000, 0x00007f66b819f000, 0x00007f66b7f9c8f0, 0000000000001e68,  /home/fredrik/subset/dynamorio/build/clients/lib64/release/libdrcov.so
  2,   2, 0x00007f6737d95000, 0x00007f6737d99000, 0x00007f6737d95ef0, 0000000000000000,  /home/fredrik/subset/test/cov/cov.o
  3,   2, 0x00007f6737f99000, 0x00007f6737f9c000, 0x00007f6737d95ef0, 0000000000004cd0,  /home/fredrik/subset/test/cov/cov.o
  4,   4, 0x00007f673bd72000, 0x00007f673bd99000, 0x00007f673bd73090, 0000000000000000,  /lib/x86_64-linux-gnu/ld-2.27.so
  5,   4, 0x00007f673bf99000, 0x00007f673bf9c000, 0x00007f673bd73090, 0000000000027680,  /lib/x86_64-linux-gnu/ld-2.27.so
  6,   6, 0x00007f673bf9d000, 0x00007f673c100000, 0x00007f673c0985b1, 0000000000000000,  /home/fredrik/subset/dynamorio/build/lib64/release/libdynamorio.so
  7,   6, 0x00007f673c300000, 0x00007f673c370000, 0x00007f673c0985b1, 00000000001631a0,  /home/fredrik/subset/dynamorio/build/lib64/release/libdynamorio.so
  8,   8, 0x00007ffd199e8000, 0x00007ffd199ea000, 0x00007ffd199e8970, 0000000000000000,  [vdso]
  9,   9, 0x00007f673b94e000, 0x00007f673bb35000, 0x00007f673b96fcb0, 0000000000000000,  /lib/x86_64-linux-gnu/libc-2.27.so
 10,   9, 0x00007f673bd35000, 0x00007f673bd3f000, 0x00007f673b96fcb0, 00000000001e7620,  /lib/x86_64-linux-gnu/libc-2.27.so
BB Table: 3129 bbs
module id, start, size:
module[  4]: 0x0000000000001090,   8
module[  4]: 0x0000000000001ea0,  85
module[  4]: 0x0000000000001ef5,  65
module[  4]: 0x0000000000001f5b,   6
module[  4]: 0x0000000000001f4b,  16
module[  4]: 0x0000000000001f61,  12
module[  4]: 0x0000000000001f6d,  14
module[  4]: 0x0000000000002290,  16
module[  4]: 0x0000000000002320,  16
module[  4]: 0x0000000000002330,  12
module[  4]: 0x0000000000001f4f,  12
module[  4]: 0x0000000000001f40,  27
module[  4]: 0x0000000000001f90,   9
module[  4]: 0x0000000000001f99,  12
module[  4]: 0x0000000000001fa5,  16
module[  4]: 0x0000000000001fb5,  16
module[  4]: 0x0000000000001fc5,  16
module[  4]: 0x0000000000001fd5,  16
module[  4]: 0x0000000000001fe5,  16
module[  4]: 0x0000000000001ff5,  16
module[  4]: 0x0000000000002005,  16
